sequence,date,type,status,actualConversationPages,title,corePdfUrl,sourcePacketUrl,sourcePdfPages,readingPacketPages,actualConversationPacketPages,markerPage,pddReferences,publicStatementsSameDay,publicStatementsNearby,sourceCopies,strobeContext,naraSupport,frusSourceNote,compilerAction
"10","1993-09-07","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","95-98","56-60","56-59","91","11:40-12:10 The President talked on a conference call with Boris N. Yeltsin. pp. 52 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-002-006-2018.pdf>","1993-09-07 (same day) Statement by the Press Secretary on the President's Telephone Conversation With President Boris Yeltsin of Russia [p. 1448] <https://www.govinfo.gov/content/pkg/PPP-1993-book2/pdf/PPP-1993-book2-doc-pg1448-2.pdf>","","15VrM1_b_ytYNKHKn78ZKANgfJBVY72fn: 930907 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/15VrM1_b_ytYNKHKn78ZKANgfJBVY72fn/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 160, Folder Title/Record ID 9306715, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"11","1993-09-21","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","107-109","61-64","61-63","100","3:13 The President telephoned Boris N. Yeltsin; the call was not completed. pp. 47 <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/3675/17367517/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-004-2015.pdf>","1993-09-21 (same day) Interview With Radio Talk Show Hosts [pp. 1548-1553] <https://www.govinfo.gov/content/pkg/PPP-1993-book2/pdf/PPP-1993-book2-doc-pg1548.pdf>; 1993-09-21 (same day) Statement on the Situation in Russia [pp. 1553-1554] <https://www.govinfo.gov/content/pkg/PPP-1993-book2/pdf/PPP-1993-book2-doc-pg1553.pdf>","","17KnXzjPdKqJGPUWyC4ge5PVBSyOJ03QO: 930921 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/17KnXzjPdKqJGPUWyC4ge5PVBSyOJ03QO/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 163, Folder Title/Record ID 9307171, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"12","1993-10-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, October 5, 1993, Air Force One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-10-05-telcon-12.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","119-121","65-68","65-67","112","1:20; 1:42-2:02 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference line with President Yeltsin. pp. 47 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-002-008-2018.pdf>","1993-10-05 (same day) Statement by the Press Secretary on the President's Telephone Conversation With President Boris Yeltsin of Russia [pp. 1693-1694] <https://www.govinfo.gov/content/pkg/PPP-1993-book2/pdf/PPP-1993-book2-doc-pg1693-2.pdf>","","1jf6_8GhGV5MGQN3G4OxgrCthB5FHhfaT: 931005 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1jf6_8GhGV5MGQN3G4OxgrCthB5FHhfaT/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 165, Folder Title/Record ID 9307653, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"13","1993-12-22","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","142-145","69-73","69-72","136","9:10-9:40 The President talked on a conference call with Boris N. Yeltsin. pp. 80 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-005-2018.pdf>","1993-12-22 (same day) Statement by the Press Secretary on the President's Telephone Conversation With President Boris Yeltsin of Russia [p. 2202] <https://www.govinfo.gov/content/pkg/PPP-1993-book2/pdf/PPP-1993-book2-doc-pg2202.pdf>","","1u1uO_zeA0GNNX8nPkvsTHJ3rALOOn6pZ: 931222 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1u1uO_zeA0GNNX8nPkvsTHJ3rALOOn6pZ/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 178, Folder Title/Record ID 9309998, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"14","1994-01-13","Memcon","counted","6","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/19662f645b0b622a95717322e238c1ec.pdf","1-6","74-79","74-79","","","1994-01-13 (same day) Remarks at a Reception in Moscow [pp. 48-49] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg48-3.pdf>; 1994-01-13 (same day) Remarks at a Welcoming Ceremony in Moscow, Russia [p. 47] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg47.pdf>","1994-01-14 (+1 days) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 50-58] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg50.pdf>; 1994-01-14 (+1 days) Exchange With Reporters on Signing the Denuclearization Agreement With Russia and Ukraine in Moscow [pp. 49-50] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg49.pdf>","","","1994-01-09 (-4 days) Declassified Documents Regarding President Clinton's Trip to Europe, January 1994 <https://clinton.presidentiallibraries.us/files/original/366a214486b2bfefbeb1a216c9aaf350.pdf>; 1994-01-20 (+7 days) Telcon with President Ulmanis of Latvia discussing Clinton-Yeltsin Moscow talks [7-10; marker page 1 appended] <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/nara-23901979-clinton-ulmanis-telcon-context.pdf>","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101363, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Review nearby support/context records only after final document selection."
"15","1994-01-13","Memcon","counted","11","President's dinner with President Yeltsin, January 13/14, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf","1-11","80-90","80-90","","","1994-01-13 (same day) Remarks at a Reception in Moscow [pp. 48-49] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg48-3.pdf>; 1994-01-13 (same day) Remarks at a Welcoming Ceremony in Moscow, Russia [p. 47] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg47.pdf>","1994-01-14 (+1 days) Exchange With Reporters on Signing the Denuclearization Agreement With Russia and Ukraine in Moscow [pp. 49-50] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg49.pdf>; 1994-01-14 (+1 days) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 50-58] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg50.pdf>","","","1994-01-09 (-4 days) Declassified Documents Regarding President Clinton's Trip to Europe, January 1994 <https://clinton.presidentiallibraries.us/files/original/366a214486b2bfefbeb1a216c9aaf350.pdf>; 1994-01-20 (+7 days) Telcon with President Ulmanis of Latvia discussing Clinton-Yeltsin Moscow talks [7-10; marker page 1 appended] <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/nara-23901979-clinton-ulmanis-telcon-context.pdf>","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable.""","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Review nearby support/context records only after final document selection."
"16","1994-01-14","Memcon","counted","3","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","State FOIA document C06694499, conversation pages 1-3","91-93","91-93","","11:05-11:15 The President participated in the signing ceremony for the Denuclearization Agreement with Russia and Ukraine, accompanied by Boris N. Yeltsin and Leonid Kravchuk. pp. 68 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-006-2018.pdf>","1994-01-14 (same day) Exchange With Reporters on Signing the Denuclearization Agreement With Russia and Ukraine in Moscow [pp. 49-50] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg49.pdf>; 1994-01-14 (same day) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 50-58] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg50.pdf>; 1994-01-14 (same day) Statement by the Presidents of the United States, Russia, and Ukraine [pp. 69-70] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg69.pdf>; 1994-01-14 (same day) Joint American-Russian Statement on Human Rights [pp. 73-74] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg73.pdf>; 1994-01-14 (same day) Moscow Declaration [pp. 74-75] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg74.pdf>; 1994-01-14 (same day) Remarks in a Town Meeting With Russian Citizens in Moscow [pp. 58-69] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg58.pdf>","","1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r: 940114 Clinton and Yeltsin and Kravchuk memcon.pdf (Google Drive search match) <https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view>","","1994-01-09 (-5 days) Declassified Documents Regarding President Clinton's Trip to Europe, January 1994 <https://clinton.presidentiallibraries.us/files/original/366a214486b2bfefbeb1a216c9aaf350.pdf>","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694499.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"17","1994-01-14","Memcon","counted","8","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view","State FOIA document C06694502, conversation pages 1-8","94-101","94-101","","11:05-11:15 The President participated in the signing ceremony for the Denuclearization Agreement with Russia and Ukraine, accompanied by Boris N. Yeltsin and Leonid Kravchuk. pp. 68 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-006-2018.pdf>","1994-01-14 (same day) Exchange With Reporters on Signing the Denuclearization Agreement With Russia and Ukraine in Moscow [pp. 49-50] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg49.pdf>; 1994-01-14 (same day) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 50-58] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg50.pdf>; 1994-01-14 (same day) Moscow Declaration [pp. 74-75] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg74.pdf>; 1994-01-14 (same day) Remarks in a Town Meeting With Russian Citizens in Moscow [pp. 58-69] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg58.pdf>; 1994-01-14 (same day) Joint American-Russian Statement on Human Rights [pp. 73-74] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg73.pdf>; 1994-01-14 (same day) Statement by the Presidents of the United States, Russia, and Ukraine [pp. 69-70] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg69.pdf>","","1pr42yhINujL_px_Y5aXD_MmChhc5sy9v: 940114 Clinton and Yeltsin Memcon.pdf (Google Drive search match) <https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view>; 1bhiipjnmQh_WU-WC9XUGKIrzW93q4r38: 940114 Clinton and Yeltsin Morning Session memcon.pdf (Google Drive search match) <https://drive.google.com/file/d/1bhiipjnmQh_WU-WC9XUGKIrzW93q4r38/view>","","1994-01-09 (-5 days) Declassified Documents Regarding President Clinton's Trip to Europe, January 1994 <https://clinton.presidentiallibraries.us/files/original/366a214486b2bfefbeb1a216c9aaf350.pdf>; 1994-01-20 (+6 days) Telcon with President Ulmanis of Latvia discussing Clinton-Yeltsin Moscow talks [7-10; marker page 1 appended] <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/nara-23901979-clinton-ulmanis-telcon-context.pdf>","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694502.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"18","1994-01-15","Memcon","counted","2","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/67bc3e4fc7cc0ed1ba4f438e510624d8.pdf","1-2","102-103","102-103","","","1994-01-15 (same day) Remarks to Future Leaders of Belarus in Minsk [pp. 77-80] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg77.pdf>","1994-01-14 (-1 days) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 50-58] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg50.pdf>; 1994-01-14 (-1 days) Exchange With Reporters on Signing the Denuclearization Agreement With Russia and Ukraine in Moscow [pp. 49-50] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg49.pdf>","","","1994-01-20 (+5 days) Telcon with President Ulmanis of Latvia discussing Clinton-Yeltsin Moscow talks [7-10; marker page 1 appended] <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/nara-23901979-clinton-ulmanis-telcon-context.pdf>; 1994-01-09 (-6 days) Declassified Documents Regarding President Clinton's Trip to Europe, January 1994 <https://clinton.presidentiallibraries.us/files/original/366a214486b2bfefbeb1a216c9aaf350.pdf>","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101364, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 15, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Review nearby support/context records only after final document selection."
"19","1994-02-20","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","155-157","104-107","104-106","148","12:50; 1:27-1:47 The President was telephoned by Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 61-62 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-009-2018.pdf>","1994-02-20 (same day) Statement on Results of NATO Action on Bosnia [pp. 286-287] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg286.pdf>","","1-Czdq2907N9Zq6Rt7civTm-xPwkK9h6y: 940220 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1-Czdq2907N9Zq6Rt7civTm-xPwkK9h6y/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 470, Folder Title/Record ID 9401529, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"20","1994-04-10","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","164-166","108-111","108-110","159","10:50; 11:15-11:38 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 53 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-004-003-2018.pdf>","","","1qihIq6mo51EnA3ufb089tvkxIRp4kVnN: 940410 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1qihIq6mo51EnA3ufb089tvkxIRp4kVnN/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9402775, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"21","1994-04-20","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","181-184","112-116","112-115","171","2:25-3:05 The President talked on a conference call with Boris N. Yeltsin. pp. 26 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-004-004-2018.pdf>","","","1ak-28O0E3npmQFlhnktlHR9h7Jze_RQq: 940420 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1ak-28O0E3npmQFlhnktlHR9h7Jze_RQq/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9403047, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"23","1994-06-03","Telcon","pending extent","","Telephone call with President Boris Yeltsin of Russia, June 3, 1994, Rome, Italy","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Marker/withdrawal packet pages 187-190 only; no released telcon pages","","","187","4:30; 4:55-5:07 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 5 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-004-006-2018.pdf>","1994-06-03 (same day) Statement by the Press Secretary on the President's Telephone Conversations With President Boris Yeltsin of Russia and President Kim Yong-sam of South Korea [p. 1022] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg1022.pdf>","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Folder Title/Record ID 9404692, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Hard source gap: locate released actual conversation text before counting or extracting a derivative PDF. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact."
"22","1994-06-13","Telcon","counted","4","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","191-194","117-121","117-120","187","1:24-1:48 The President talked on a conference call with Boris N. Yeltsin. pp. 18 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-004-006-2018.pdf>","","","1FTGT_4HHEl4j1Z7nG2n8Oo36AMCY9rUX: 940611 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1FTGT_4HHEl4j1Z7nG2n8Oo36AMCY9rUX/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9404692, Original OA/ID 475, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"23","1994-07-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","202-204","122-125","122-124","196","","","","1EMCFtfaOX3jrb7Pcncsjcij86vCVFqHx: 940705 Clinto and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1EMCFtfaOX3jrb7Pcncsjcij86vCVFqHx/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 477, Folder Title/Record ID 9405387, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"26","1994-07-10","Memcon","pending extent","","Meeting with President Boris Yeltsin of Russia, July 10, 1994, Naples Italy","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","No released July 10, 1994 Naples memcon pages located in 2015-0782-M-1","","","","","1994-07-10 (same day) The President's News Conference With President Boris Yeltsin of Russia in Naples [pp. 1230-1233] <https://www.govinfo.gov/content/pkg/PPP-1994-book1/pdf/PPP-1994-book1-doc-pg1230.pdf>","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Hard source gap: locate released actual conversation text before counting or extracting a derivative PDF. Review linked Public Papers rows for editorial-note framing around the contact."
