priority,workstream,sequence,date,type,selectionTier,selectionScore,pages,title,action,why,blockingIssue,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,readinessBucket,dominantIssues,packetPages,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,reportLinks
"P0","Draft spine closeout","28","1994-09-27","Memcon","Tier 1 - likely core","146","10","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, heavy annotation review.","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Ukraine / Nuclear Security (43); Arms Control / Nonproliferation (42); Iraq / Middle East (3)","134-144","251-260","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","34","1995-05-10","Memcon","Tier 1 - likely core","195","16","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (67); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","171-187","285-300","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","52","1997-03-21","Memcon","Tier 1 - likely core","190","11","Helsinki Morning Meeting with President Boris Yeltsin","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, heavy annotation review.","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","NATO / European Security (46); Arms Control / Nonproliferation (43); Ukraine / Nuclear Security (12)","292-303","105-115","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","56","1997-05-27","Memcon","Tier 1 - likely core","117","8","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, heavy annotation review.","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","NATO / European Security (29); Arms Control / Nonproliferation (10); Iraq / Middle East (7)","325-333","143-150","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","57","1997-06-20","Memcon","Tier 1 - likely core","105","8","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (14); Iraq / Middle East (13); Arms Control / Nonproliferation (11)","334-342","165-172","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","80","1999-04-25","Telcon","Tier 1 - likely core","215","12","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close heavy annotation review.","","Parsed face-page fields available","","Parsed","","Heavy annotation review","Ready for selection reading","Kosovo / Balkans (48); NATO / European Security (12); Economic Reform / Assistance (7)","453-465","445-456","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","87","1999-06-20","Memcon","Tier 1 - likely core","142","9","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Arms Control / Nonproliferation (38); Kosovo / Balkans (13); Economic Reform / Assistance (7)","494-503","497-505","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P1","Draft spine closeout","4","1993-04-03","Memcon","Tier 2 - strong candidate","92","9","Working Dinner with President Boris Yeltsin","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Tier 2 representative for Russian Politics / Elections; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Economic Reform / Assistance (18); Arms Control / Nonproliferation (4); Russian Politics / Elections (3)","9-18","9-17","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P1","Draft spine closeout","35","1995-06-17","Memcon","Tier 2 - strong candidate","76","8","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Tier 2 representative for Chechnya / Caucasus; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","participants; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants","Heavy annotation review","Ready to read; source-note review","NATO / European Security (18); Ukraine / Nuclear Security (9); Chechnya / Caucasus (8)","188-195","Strobe FOIA document C06835181, conversation pages 1-8","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P1","Draft spine closeout","38","1995-10-23","Memcon","Tier 2 - strong candidate","97","12","Clinton-Yeltsin One-on-One","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Phase-balance anchor: 1995 summits, reform assistance, and NATO pressure has one Tier 1 document; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (21); Ukraine / Nuclear Security (7); Arms Control / Nonproliferation (5)","206-218","5-16","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P1","Draft spine closeout","45","1996-04-21","Memcon","Tier 2 - strong candidate","79","7","Luncheon Meeting with Russian President Boris Yeltsin","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Phase-continuity anchor: 1996 election and enlargement management has no Tier 1 document; close heavy annotation review.","","Parsed face-page fields available","","Parsed","","Heavy annotation review","Ready for selection reading","Economic Reform / Assistance (17); Russian Politics / Elections (11); Arms Control / Nonproliferation (3)","261-268","7-13","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P1","Draft spine closeout","68","1998-06-15","Telcon","Tier 2 - strong candidate","83","5","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Phase-continuity anchor: 1998 financial crisis and succession uncertainty has no Tier 1 document; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (25); NATO / European Security (7); Arms Control / Nonproliferation (4)","401-406","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P1","Tier 2 watchlist decision","14","1993-12-22","Telcon","Tier 2 - strong candidate","77","4","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for Ukraine, Partnership for Peace, and the 1994 balance","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Economic Reform / Assistance (19); Ukraine / Nuclear Security (14); Russian Politics / Elections (7)","69-73","142-145","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","15","1994-01-13","Memcon","Tier 2 - strong candidate","82","6","One-on-One Meeting with President Boris Yeltsin of Russia","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for Ukraine, Partnership for Peace, and the 1994 balance","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Economic Reform / Assistance (28); Russian Politics / Elections (11); Iraq / Middle East (5)","74-79","1-6","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/19662f645b0b622a95717322e238c1ec.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","27","1994-09-27","Memcon","Tier 2 - strong candidate","86","7","Clinton-Yeltsin one-on-one memcon, September 27, 1994","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for Ukraine, Partnership for Peace, and the 1994 balance","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (16); Economic Reform / Assistance (5); Iraq / Middle East (5)","126-133","213-219","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","36","1995-07-28","Telcon","Tier 2 - strong candidate","76","5","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1995 summits, reform assistance, and NATO pressure","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (13); NATO / European Security (6); Chechnya / Caucasus (5)","196-201","309-313","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","40","1996-01-26","Telcon","Tier 2 - strong candidate","71","5","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1996 election and enlargement management","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Russian Politics / Elections (15); Economic Reform / Assistance (7); Chechnya / Caucasus (6)","225-230","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","41","1996-02-21","Telcon","Tier 2 - strong candidate","72","4","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1996 election and enlargement management","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","NATO / European Security (12); Russian Politics / Elections (10); Arms Control / Nonproliferation (9)","231-235","354-357","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","53","1997-03-21","Memcon","Tier 2 - strong candidate","82","8","Helsinki Working Lunch with President Boris Yeltsin","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1997 Helsinki, Founding Act, and Denver","","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (10); Economic Reform / Assistance (9); Russian Politics / Elections (7)","304-312","116-123","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","54","1997-03-21","Memcon","Tier 2 - strong candidate","85","4","Helsinki Afternoon Meeting with President Boris Yeltsin","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1997 Helsinki, Founding Act, and Denver","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","NATO / European Security (14); Economic Reform / Assistance (5); Arms Control / Nonproliferation (4)","313-317","124-127","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","55","1997-03-21","Memcon","Tier 2 - strong candidate","95","6","Helsinki Private Dinner with President Boris Yeltsin","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1997 Helsinki, Founding Act, and Denver","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Iraq / Middle East (15); Ukraine / Nuclear Security (12); NATO / European Security (6)","318-324","128-133","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","65","1998-05-17","Memcon","Tier 2 - strong candidate","82","8","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1998 financial crisis and succession uncertainty","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Arms Control / Nonproliferation (10); Kosovo / Balkans (9); NATO / European Security (5)","383-391","312-319","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","79","1999-04-19","Telcon","Tier 2 - strong candidate","90","6","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1999 Kosovo, arms control, and transfer of power","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (33); NATO / European Security (11); Economic Reform / Assistance (2)","446-452","438-443","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
"P1","Tier 2 watchlist decision","89","1999-11-19","Memcon","Tier 2 - strong candidate","74","7","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","Compare against the draft spine and decide whether to add, swap, excerpt, or hold for annotation/background use.","Phase alternate for 1999 Kosovo, arms control, and transfer of power","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Arms Control / Nonproliferation (12); Chechnya / Caucasus (8); Ukraine / Nuclear Security (7)","510-517","560-566","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","draft-selection-spine.html; selection-priority-workbench.html; thematic-selection-matrix.html"
