key,type,priority,documentCount,totalHits,firstDate,lastDate,role,annotationNote,topDocuments
"Gore","Person","High","36","114","1993-04-04","1999-09-08","Albert Gore, Jr.; Vice President of the United States.","Annotate for the Gore-Chernomyrdin Commission and its relation to presidential-level contacts.","#75 1999-04-25 Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C. (29 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf>; #31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (12 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>; #35 1995-10-23 Clinton-Yeltsin One-on-One (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf>; #76 1999-05-02 Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf>; #82 1999-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf>; #27 1994-10-05 Telephone call with President Boris Yeltsin, October 5, 1994, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf>; #32 1995-06-17 Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf>; #45 1996-07-05 Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf>"
"UN","Organization","High","33","100","1993-01-23","1999-09-08","United Nations.","Annotate when Bosnia, Iraq, Kosovo, peacekeeping, or Security Council action is material.","#20 1994-04-10 Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House (13 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf>; #21 1994-04-20 Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House (10 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf>; #26 1994-09-28 Second Clinton/Yeltsin One-on-One (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf>; #33 1995-07-28 Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf>; #82 1999-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf>; #2 1993-02-10 Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf>; #54 1997-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf>; #78 1999-06-08 Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf>"
"Talbott","Person","High","33","57","1993-01-23","1999-09-08","Strobe Talbott; Ambassador-at-large and special adviser on the newly independent states, then Deputy Secretary of State.","Annotate for back-channel and implementation context; cross-link to Talbott FOIA source-copy records where useful.","#75 1999-04-25 Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C. (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf>; #9 1993-07-10 Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf>; #52 1997-03-21 Helsinki Private Dinner with President Boris Yeltsin (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf>; #53 1997-05-27 Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf>; #8 1993-06-28 Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf>; #26 1994-09-28 Second Clinton/Yeltsin One-on-One (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf>; #82 1999-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf>; #41 1996-04-21 POTUS-Yeltsin One-on-One (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf>"
"Primakov","Person","High","29","104","1994-10-05","1999-06-20","Yevgeny M. Primakov; Russian Foreign Minister, then Prime Minister.","Frequent late-1990s foreign-policy interlocutor; annotate especially around Kosovo and Iraq.","#70 1998-09-12 Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House (15 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf>; #53 1997-05-27 Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France (11 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf>; #49 1997-03-21 Helsinki Morning Meeting with President Boris Yeltsin (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf>; #54 1997-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf>; #39 1996-03-13 Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf>; #72 1998-12-30 Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf>; #41 1996-04-21 POTUS-Yeltsin One-on-One (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf>; #55 1997-10-30 Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf>"
"Christopher","Person","High","28","65","1993-01-23","1996-07-05","Warren Christopher; Secretary of State, 1993-1997.","Usually a first-appearance personnel note; cross-reference early Clinton-Russia policy formation if selected.","#25 1994-09-27 Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf>; #9 1993-07-10 Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf>; #22 1994-06-13 Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf>; #1 1993-01-23 Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf>; #3 1993-04-03 Working Dinner with President Boris Yeltsin (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf>; #4 1993-04-04 Meeting with Russian President Boris Yeltsin on Security Issues (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf>; #6 1993-05-02 Telephone call with President Boris Yeltsin of Russia, May 2, 1993, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-02-telcon-06.pdf>; #2 1993-02-10 Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf>"
"Kozyrev","Person","High","26","76","1993-01-23","1995-10-23","Andrei V. Kozyrev; Russian Foreign Minister, 1990-1996.","High-value early-volume authority note; appears in Bosnia, NATO, and reform-assistance discussions.","#3 1993-04-03 Working Dinner with President Boris Yeltsin (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf>; #33 1995-07-28 Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf>; #25 1994-09-27 Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf>; #28 1994-10-10 Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf>; #9 1993-07-10 Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf>; #22 1994-06-13 Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf>; #15 1994-01-13 President's dinner with President Yeltsin, January 13/14, 1994 (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf>; #1 1993-01-23 Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf>"
"Albright","Person","High","22","43","1997-02-27","1999-11-19","Madeleine K. Albright; U.S. Permanent Representative to the United Nations, then Secretary of State.","Annotate on first use in the selected volume if the document predates her Secretary of State appointment or if her channel with Primakov/Yeltsin matters.","#53 1997-05-27 Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf>; #54 1997-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf>; #49 1997-03-21 Helsinki Morning Meeting with President Boris Yeltsin (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf>; #55 1997-10-30 Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf>; #82 1999-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf>; #84 1999-11-19 Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf>; #56 1997-11-16 Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf>; #57 1997-11-22 Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf>"
"Milosevic","Person","High","21","116","1993-02-10","1999-06-08","Slobodan Milosevic; President of Serbia and later President of the Federal Republic of Yugoslavia.","Annotate in Bosnia/Kosovo documents; connect to Contact Group and NATO air campaign context if selected.","#75 1999-04-25 Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C. (27 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf>; #24 1994-09-27 Clinton-Yeltsin one-on-one memcon, September 27, 1994 (13 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf>; #65 1998-06-15 Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House (12 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf>; #74 1999-04-19 Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House (10 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf>; #73 1999-03-24 Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House (9 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf>; #33 1995-07-28 Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf>; #68 1998-08-14 Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf>; #71 1998-10-05 Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf>"
"Chechnya / Caucasus","Issue","High","16","81","1993-05-10","1999-11-19","Chechnya, Chechen conflict, Caucasus, and Russian internal security concerns.","Annotate carefully as internal-Russia context when retained in a presidential exchange.","#29 1995-02-13 Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House (15 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf>; #32 1995-06-17 Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada (8 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf>; #84 1999-11-19 Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey (8 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf>; #41 1996-04-21 POTUS-Yeltsin One-on-One (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf>; #7 1993-05-10 Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf>; #37 1996-01-26 Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf>; #31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>; #33 1995-07-28 Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf>"
"G-7","Organization","Medium","16","51","1993-04-03","1997-03-21","Group of Seven major industrial democracies.","Annotate around Tokyo, Halifax, Denver, Birmingham, Cologne, and assistance coordination.","#42 1996-04-21 Luncheon Meeting with Russian President Boris Yeltsin (11 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf>; #8 1993-06-28 Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House (9 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf>; #4 1993-04-04 Meeting with Russian President Boris Yeltsin on Security Issues (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf>; #3 1993-04-03 Working Dinner with President Boris Yeltsin (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf>; #14 1994-01-13 One-on-One Meeting with President Boris Yeltsin of Russia (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf>; #18 1994-01-15 One-on-One Meeting with President Boris Yeltsin of Russia (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf>; #40 1996-04-09 Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf>; #13 1993-12-22 Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf>"
"Ivanov","Person","Medium","16","42","1995-10-23","1999-11-19","Igor S. Ivanov; Russian Foreign Minister from 1998.","Likely relevant in Kosovo-era documents and late Yeltsin/Putin transition context.","#82 1999-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany (10 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf>; #84 1999-11-19 Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey (8 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf>; #78 1999-06-08 Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf>; #77 1999-06-07 Telephone call with President Boris Yeltsin of Russia, June 7, 1999, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-07-telcon-72.pdf>; #70 1998-09-12 Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf>; #74 1999-04-19 Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf>; #83 1999-09-08 Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf>; #35 1995-10-23 Clinton-Yeltsin One-on-One (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf>"
"IMF","Organization","Medium","15","40","1993-06-28","1999-06-20","International Monetary Fund.","Annotate where loans, conditionality, or Russian financial stabilization are significant.","#64 1998-05-28 Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf>; #72 1998-12-30 Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf>; #67 1998-07-10 Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf>; #68 1998-08-14 Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf>; #43 1996-05-07 Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf>; #8 1993-06-28 Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf>; #37 1996-01-26 Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf>; #50 1997-03-21 Helsinki Working Lunch with President Boris Yeltsin (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf>"
"Berger","Person","Medium","15","30","1993-04-03","1999-11-19","Samuel R. Berger; Deputy Assistant to the President for National Security Affairs, then National Security Adviser.","Useful for explaining NSC staffing on post-1996 calls and Helsinki/Kosovo documents.","#51 1997-03-21 Helsinki Afternoon Meeting with President Boris Yeltsin (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf>; #53 1997-05-27 Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf>; #54 1997-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf>; #62 1998-05-17 Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf>; #61 1998-05-12 Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf>; #67 1998-07-10 Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf>; #84 1999-11-19 Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf>; #3 1993-04-03 Working Dinner with President Boris Yeltsin (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf>"
"Kohl","Person","Medium","11","16","1994-02-20","1998-04-06","Helmut Kohl; Chancellor of Germany.","Annotate where NATO enlargement, European security, or G-7 diplomacy depends on German context.","#19 1994-02-20 Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf>; #29 1995-02-13 Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf>; #31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>; #33 1995-07-28 Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf>; #21 1994-04-20 Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf>; #24 1994-09-27 Clinton-Yeltsin one-on-one memcon, September 27, 1994 (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf>; #26 1994-09-28 Second Clinton/Yeltsin One-on-One (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf>; #28 1994-10-10 Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf>"
"Kravchuk","Person","Watch","5","13","1993-09-07","1994-01-14","Leonid M. Kravchuk; President of Ukraine, 1991-1994.","Annotate in trilateral/nuclear-security documents and Budapest Memorandum context.","#13 1993-12-22 Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf>; #16 1994-01-14 Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf>; #10 1993-09-07 Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House (3 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf>; #14 1994-01-13 One-on-One Meeting with President Boris Yeltsin of Russia (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf>; #15 1994-01-13 President's dinner with President Yeltsin, January 13/14, 1994 (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf>"
"Tudjman","Person","Watch","3","7","1994-09-27","1995-10-23","Franjo Tudjman; President of Croatia.","Annotate if Bosnia/Croatia settlement context is retained in the selected document.","#35 1995-10-23 Clinton-Yeltsin One-on-One (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf>; #33 1995-07-28 Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House (2 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf>; #24 1994-09-27 Clinton-Yeltsin one-on-one memcon, September 27, 1994 (1 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf>"
