order,date,type,status,actualConversationPages,documentTitle,source,sourcePdfPages,markerPage,localDerivativePdf,sourcePacketUrl,catalogUrl,googleDriveFiles,strobeFiles,frusSourceNote,extractionStatus,compilerAction
"11","1993-09-07","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","2015-0782-M-1","95-98","91","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/15VrM1_b_ytYNKHKn78ZKANgfJBVY72fn/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 160, Folder Title/Record ID 9306715, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 95-98 from 2015-0782-M-1 and appended original marker page 91 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 95-98 from 2015-0782-M-1 and appended original marker page 91 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"12","1993-09-21","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","2015-0782-M-1","107-109","100","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/17KnXzjPdKqJGPUWyC4ge5PVBSyOJ03QO/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 163, Folder Title/Record ID 9307171, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 107-109 from 2015-0782-M-1 and appended original marker page 100 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 107-109 from 2015-0782-M-1 and appended original marker page 100 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"13","1993-10-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, October 5, 1993, Air Force One","2015-0782-M-1","119-121","112","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-10-05-telcon-12.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1jf6_8GhGV5MGQN3G4OxgrCthB5FHhfaT/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 165, Folder Title/Record ID 9307653, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 119-121 from 2015-0782-M-1 and appended original marker page 112 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 119-121 from 2015-0782-M-1 and appended original marker page 112 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"14","1993-12-22","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","2015-0782-M-1","142-145","136","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1u1uO_zeA0GNNX8nPkvsTHJ3rALOOn6pZ/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 178, Folder Title/Record ID 9309998, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 142-145 from 2015-0782-M-1 and appended original marker page 136 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 142-145 from 2015-0782-M-1 and appended original marker page 136 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"15","1994-01-13","Memcon","counted","6","One-on-One Meeting with President Boris Yeltsin of Russia","clinton-item-101363","1-6","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/19662f645b0b622a95717322e238c1ec.pdf","https://clinton.presidentiallibraries.us/items/show/101363","","","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101363, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation.","Potential FRUS document: extracted actual memcon pages 1-6 from clinton-item-101363; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 1-6 from clinton-item-101363; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"16","1994-01-13","Memcon","counted","11","President's dinner with President Yeltsin, January 13/14, 1994","clinton-item-101370","1-11","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf","https://clinton.presidentiallibraries.us/items/show/101370","","","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable.""","Potential FRUS document: extracted actual memcon pages 1-11 from clinton-item-101370; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded. The item is retained as a high-level interaction report even though the source label cautions that it is an NSC cable rather than a formal White House memcon.","Potential FRUS document: extracted actual memcon pages 1-11 from clinton-item-101370; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded. The item is retained as a high-level interaction report even though the source label cautions that it is an NSC cable rather than a formal White House memcon."
"17","1994-01-14","Memcon","counted","3","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","F-2017-13804","State FOIA document C06694499, conversation pages 1-3","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694499.","Potential FRUS document: extracted actual memcon pages State FOIA document C06694499, conversation pages 1-3 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages State FOIA document C06694499, conversation pages 1-3 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"18","1994-01-14","Memcon","counted","8","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","F-2017-13804","State FOIA document C06694502, conversation pages 1-8","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view | https://drive.google.com/file/d/1bhiipjnmQh_WU-WC9XUGKIrzW93q4r38/view","","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694502.","Potential FRUS document: extracted actual memcon pages State FOIA document C06694502, conversation pages 1-8 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages State FOIA document C06694502, conversation pages 1-8 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"19","1994-01-15","Memcon","counted","2","One-on-One Meeting with President Boris Yeltsin of Russia","clinton-item-101364","1-2","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/67bc3e4fc7cc0ed1ba4f438e510624d8.pdf","https://clinton.presidentiallibraries.us/items/show/101364","","","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101364, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 15, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation.","Potential FRUS document: extracted actual memcon pages 1-2 from clinton-item-101364; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 1-2 from clinton-item-101364; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"20","1994-02-20","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","2015-0782-M-1","155-157","148","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1-Czdq2907N9Zq6Rt7civTm-xPwkK9h6y/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 470, Folder Title/Record ID 9401529, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 155-157 from 2015-0782-M-1 and appended original marker page 148 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 155-157 from 2015-0782-M-1 and appended original marker page 148 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"21","1994-04-10","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","2015-0782-M-1","164-166","159","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1qihIq6mo51EnA3ufb089tvkxIRp4kVnN/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9402775, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 164-166 from 2015-0782-M-1 and appended original marker page 159 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 164-166 from 2015-0782-M-1 and appended original marker page 159 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"22","1994-04-20","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","2015-0782-M-1","181-184","171","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1ak-28O0E3npmQFlhnktlHR9h7Jze_RQq/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9403047, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 181-184 from 2015-0782-M-1 and appended original marker page 171 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 181-184 from 2015-0782-M-1 and appended original marker page 171 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"23","1994-06-03","Telcon","pending extent","","Telephone call with President Boris Yeltsin of Russia, June 3, 1994, Rome, Italy","2015-0782-M-1","Marker/withdrawal packet pages 187-190 only; no released telcon pages","187","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Folder Title/Record ID 9404692, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Pending source problem: no derivative PDF generated because the source packet contains marker/withdrawal/profile pages only, not released June 3, 1994 telcon text; later Clinton Library, Google Drive, NARA Scout/Catalog, and NSA searches found confirmation/context only.","Pending source problem: no derivative PDF generated because the source packet contains marker/withdrawal/profile pages only, not released June 3, 1994 telcon text; later Clinton Library, Google Drive, NARA Scout/Catalog, and NSA searches found confirmation/context only."
"24","1994-06-13","Telcon","counted","4","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","2015-0782-M-1","191-194","187","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1FTGT_4HHEl4j1Z7nG2n8Oo36AMCY9rUX/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9404692, Original OA/ID 475, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 191-194 from 2015-0782-M-1 and appended original marker page 187 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 191-194 from 2015-0782-M-1 and appended original marker page 187 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
