sequence,date,type,annotationScore,suggestedTreatment,packetPages,actualConversationPacketPages,title,topTopics,topAuthorities,pddReferences,publicPapers,sourceCopyControls,supportLeads,notetaker,interpreter,dateTimePlace,annotationPrompt,pdfUrl
"9","1993-07-10","Memcon","100","Heavy annotation review","46-55","46-54","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","Ukraine / Nuclear Security (17); Iraq / Middle East (7); Economic Reform / Assistance (4)","Yeltsin (48); Christopher (6); Kozyrev (5); Talbott (4); Berger (1); Chernomyrdin (1)","0","1","2","0","Acting Senior Director for Russia, Ukraine and Eurasia Affairs, NSC staff","","July 10, 1993, 7:45 - 9:15am Ambassador's Residence, Tokyo","Issue context: Ukraine / Nuclear Security, Iraq / Middle East, Economic Reform / Assistance. Authority checks: Yeltsin, Christopher, Kozyrev, Talbott, Berger, Chernomyrdin. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf"
"35","1995-10-23","Memcon","97","Heavy annotation review","206-218","206-217","Clinton-Yeltsin One-on-One","NATO / European Security (21); Ukraine / Nuclear Security (7); Arms Control / Nonproliferation (5)","NATO (18); Yeltsin (15); Gore (5); Chernomyrdin (4); Tudjman (4); Milosevic (2)","0","2","1","5","","","11:30 a.m.-1:35 p.m.","Issue context: NATO / European Security, Ukraine / Nuclear Security, Arms Control / Nonproliferation. Authority checks: NATO, Yeltsin, Gore, Chernomyrdin, Tudjman, Milosevic. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf"
"52","1997-03-21","Memcon","95","Heavy annotation review","318-324","318-323","Helsinki Private Dinner with President Boris Yeltsin","Iraq / Middle East (15); Ukraine / Nuclear Security (12); NATO / European Security (6)","Yeltsin (31); Talbott (4); Chernomyrdin (3); NATO (2)","0","8","1","2","","","March 21, 1997, 8:15-9:30 p.m. Finnish Official Guest Residence, Helsinki","Issue context: Iraq / Middle East, Ukraine / Nuclear Security, NATO / European Security. Authority checks: Yeltsin, Talbott, Chernomyrdin, NATO. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf"
"3","1993-04-03","Memcon","92","Heavy annotation review","9-18","9-17","Working Dinner with President Boris Yeltsin","Economic Reform / Assistance (18); Arms Control / Nonproliferation (4); Russian Politics / Elections (3)","Yeltsin (41); Kozyrev (7); Christopher (4); G-7 (4); Chernomyrdin (2); UN (2)","0","3","0","0","Director for Russian, Ukrainian and Eurasian Affairs, NSC Staff","","April 3, 1993, 6:30 - 8:30pm Vancouver, Canada (Both Presidents opened the dinner by giving prepared toasts)","Issue context: Economic Reform / Assistance, Arms Control / Nonproliferation, Russian Politics / Elections. Authority checks: Yeltsin, Kozyrev, Christopher, G-7, Chernomyrdin, UN. Compare same-day/nearby Public Papers for public framing.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf"
"74","1999-04-19","Telcon","90","Heavy annotation review","446-452","446-451","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","Kosovo / Balkans (33); NATO / European Security (11); Economic Reform / Assistance (2)","NATO (11); Milosevic (10); Yeltsin (10); Chernomyrdin (6); Ivanov (2); Albright (1)","1","0","0","0","Robert Ford, Michael T. Manning, Roger Merletti, Matt Sibley, Jim Smith, Andrew Weiss","Nikolai Sorokin","April 19, 1999, 9:30 - 10:13 a.m. EDT, Oval Office","Issue context: Kosovo / Balkans, NATO / European Security, Economic Reform / Assistance. Authority checks: NATO, Milosevic, Yeltsin, Chernomyrdin, Ivanov, Albright. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf"
"24","1994-09-27","Memcon","86","Heavy annotation review","126-133","126-132","Clinton-Yeltsin one-on-one memcon, September 27, 1994","Kosovo / Balkans (16); Economic Reform / Assistance (5); Iraq / Middle East (5)","Yeltsin (29); Milosevic (13); UN (2); G-7 (1); Kohl (1); Kozyrev (1)","0","4","1","1","The President President Boris Yeltsin Anthony Lake, Assistant to the President for National Security","","September 27, 1994: 11:00 a.m.-1:00 p.m.; Oval Office and Patio","Issue context: Kosovo / Balkans, Economic Reform / Assistance, Iraq / Middle East. Authority checks: Yeltsin, Milosevic, UN, G-7, Kohl, Kozyrev. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf"
"51","1997-03-21","Memcon","85","Heavy annotation review","313-317","313-316","Helsinki Afternoon Meeting with President Boris Yeltsin","NATO / European Security (14); Economic Reform / Assistance (5); Arms Control / Nonproliferation (4)","Yeltsin (19); NATO (9); Berger (6); G-7 (2); Primakov (2); Talbott (2)","0","8","1","2","","","March 21, 1997, 4:00-4:50 p.m. The Finnish President's Residence, Helsinki","Issue context: NATO / European Security, Economic Reform / Assistance, Arms Control / Nonproliferation. Authority checks: Yeltsin, NATO, Berger, G-7, Primakov, Talbott. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf"
"65","1998-06-15","Telcon","83","Heavy annotation review","401-406","401-405","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","Kosovo / Balkans (25); NATO / European Security (7); Arms Control / Nonproliferation (4)","Yeltsin (13); Milosevic (12); NATO (7); Primakov (3); IMF (2); UN (2)","1","0","1","1","Bob Ford, Cindy Lawrence, Andrew Weiss","Kyrill Borissow","June 15, 1998, 1:21 p.m, - 1:57 p.m. EDT, Oval Office","Issue context: Kosovo / Balkans, NATO / European Security, Arms Control / Nonproliferation. Authority checks: Yeltsin, Milosevic, NATO, Primakov, IMF, UN. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf"
"14","1994-01-13","Memcon","82","Heavy annotation review","74-79","74-79","One-on-One Meeting with President Boris Yeltsin of Russia","Economic Reform / Assistance (28); Russian Politics / Elections (11); Iraq / Middle East (5)","Yeltsin (18); G-7 (3); NATO (2); IMF (1); Kozyrev (1); Kravchuk (1)","0","4","0","2","","","January 13, 1994, 9:00 - 9:45am The Kremlin","Issue context: Economic Reform / Assistance, Russian Politics / Elections, Iraq / Middle East. Authority checks: Yeltsin, G-7, NATO, IMF, Kozyrev, Kravchuk. Compare same-day/nearby Public Papers for public framing.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf"
"50","1997-03-21","Memcon","82","Heavy annotation review","304-312","304-311","Helsinki Working Lunch with President Boris Yeltsin","NATO / European Security (10); Economic Reform / Assistance (9); Russian Politics / Elections (7)","Yeltsin (23); Chernomyrdin (3); Gore (3); IMF (2); Talbott (2); Albright (1)","0","8","1","2","","","March 21, 1997, 1:00-2:00 p.m. The Finnish President's Residence, Helsinki ■CONFIDENTIAh Reason: 1.5 (d) DECLASSIFIED Declassify On: X6 3/21/17 n: PER E.0.13526, lP- u>-3C-/CiC>S - KOE","Issue context: NATO / European Security, Economic Reform / Assistance, Russian Politics / Elections. Authority checks: Yeltsin, Chernomyrdin, Gore, IMF, Talbott, Albright. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf"
"62","1998-05-17","Memcon","82","Heavy annotation review","383-391","383-390","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","Arms Control / Nonproliferation (10); Kosovo / Balkans (9); NATO / European Security (5)","Yeltsin (30); Primakov (4); Berger (3); Chernomyrdin (3); Milosevic (3); UN (3)","0","1","2","3","","","May 17, 1998 — 11:47 a.m. - 12:33 p.m. Birmingham, England","Issue context: Arms Control / Nonproliferation, Kosovo / Balkans, NATO / European Security. Authority checks: Yeltsin, Primakov, Berger, Chernomyrdin, Milosevic, UN. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf"
"42","1996-04-21","Memcon","79","Heavy annotation review","261-268","261-267","Luncheon Meeting with Russian President Boris Yeltsin","Economic Reform / Assistance (17); Russian Politics / Elections (11); Arms Control / Nonproliferation (3)","Yeltsin (18); G-7 (11); Zyuganov (3); Berger (1); Ivanov (1); Talbott (1)","0","4","1","1","Ambassador-at-Large to the New Independent States Ashton Carter, Assistant Secretary of Defense Coit Blacker, NSC","","April 21, 1996, 12:50 -- 2:15 p.m. The Kremlin","Issue context: Economic Reform / Assistance, Russian Politics / Elections, Arms Control / Nonproliferation. Authority checks: Yeltsin, G-7, Zyuganov, Berger, Ivanov, Talbott. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf"
"13","1993-12-22","Telcon","77","Heavy annotation review","69-73","69-72","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","Economic Reform / Assistance (19); Ukraine / Nuclear Security (14); Russian Politics / Elections (7)","Yeltsin (14); NATO (5); Kravchuk (4); Gore (3); G-7 (2); IMF (1)","1","1","1","0","John Beyrle","Dmitriy Zarechnak","December 22, 1993 9:10 - 9:40 am Oval Office","Issue context: Economic Reform / Assistance, Ukraine / Nuclear Security, Russian Politics / Elections. Authority checks: Yeltsin, NATO, Kravchuk, Gore, G-7, IMF. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf"
"32","1995-06-17","Memcon","76","Heavy annotation review","188-195","188-195","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","NATO / European Security (18); Ukraine / Nuclear Security (9); Chechnya / Caucasus (8)","NATO (13); Yeltsin (6); Chernomyrdin (4); Gore (4); UN (3); Christopher (1)","0","1","1","3","","","June 17, 1995, Halifax, Nova Scotia, Canada","Issue context: NATO / European Security, Ukraine / Nuclear Security, Chechnya / Caucasus. Authority checks: NATO, Yeltsin, Chernomyrdin, Gore, UN, Christopher. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf"
"33","1995-07-28","Telcon","76","Heavy annotation review","196-201","196-200","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","Kosovo / Balkans (13); NATO / European Security (6); Chechnya / Caucasus (5)","Yeltsin (17); Kozyrev (7); Milosevic (7); UN (7); NATO (6); Kohl (2)","1","0","1","0","Steve Pifer, Katherine O'Loughlin, Kenneth Baldwin and Mary Canty","Peter Afanasenko","July 28, 1995, 10:35-11:19 a.m. EDT Oval Office","Issue context: Kosovo / Balkans, NATO / European Security, Chechnya / Caucasus. Authority checks: Yeltsin, Kozyrev, Milosevic, UN, NATO, Kohl. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf"
"84","1999-11-19","Memcon","74","Heavy annotation review","510-517","510-516","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","Arms Control / Nonproliferation (12); Chechnya / Caucasus (8); Ukraine / Nuclear Security (7)","Yeltsin (28); Ivanov (8); Albright (3); Berger (2)","0","1","1","0","Carlos Pascual DATE,. TIME November 19, 1999, 10:45 a.m.-ll:40 a.m.","Peter Afansenko","DATE,. TIME November 19, 1999, 10:45 a.m.-ll:40 a.m.","Issue context: Arms Control / Nonproliferation, Chechnya / Caucasus, Ukraine / Nuclear Security. Authority checks: Yeltsin, Ivanov, Albright, Berger. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf"
"38","1996-02-21","Telcon","72","Heavy annotation review","231-235","231-234","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","NATO / European Security (12); Russian Politics / Elections (10); Arms Control / Nonproliferation (9)","Yeltsin (18); NATO (9); Chernomyrdin (3); Christopher (2); Primakov (2); Gore (1)","1","0","1","0","Ted Sevigny, Mary Canty, Elaine Florio, Steve Pifer","Peter Afanasenko","February 21, 1996, 10:38-11:05 a.m. EST Oval Office PRESIDENT CLINTON: Hello? (U) PRESIDENT YELTSIN Hello, Bill. (U) PRESIDENT CLINTON Hello, Boris. Thank you for taking my call. (U)","Issue context: NATO / European Security, Russian Politics / Elections, Arms Control / Nonproliferation. Authority checks: Yeltsin, NATO, Chernomyrdin, Christopher, Primakov, Gore. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf"
"37","1996-01-26","Telcon","71","Heavy annotation review","225-230","225-229","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","Russian Politics / Elections (15); Economic Reform / Assistance (7); Chechnya / Caucasus (6)","Yeltsin (20); NATO (6); Chernomyrdin (4); Gore (2); IMF (2); Christopher (1)","1","1","1","0","Katherine O'Loughlin, Kevin Wooton, Deuce Martinez, Steve Pifer","Peter Afanasenko","January 26, 1996, 10:46-11:27 a.m. EDT Oval Office","Issue context: Russian Politics / Elections, Economic Reform / Assistance, Chechnya / Caucasus. Authority checks: Yeltsin, NATO, Chernomyrdin, Gore, IMF, Christopher. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf"
"8","1993-06-28","Telcon","69","Heavy annotation review","41-45","41-44","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","Economic Reform / Assistance (17); Arms Control / Nonproliferation (6); Iraq / Middle East (5)","Yeltsin (12); G-7 (9); Chernomyrdin (3); Talbott (3); Gore (2); IMF (2)","1","1","1","1","Beth Banner","Demitry Zarechnak","28 June 1993, 1:05 - 1:33pm Oval Office President Clinton: Hello. (U)","Issue context: Economic Reform / Assistance, Arms Control / Nonproliferation, Iraq / Middle East. Authority checks: Yeltsin, G-7, Chernomyrdin, Talbott, Gore, IMF. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf"
"55","1997-10-30","Telcon","69","Heavy annotation review","343-349","343-348","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","Arms Control / Nonproliferation (21); Russian Politics / Elections (5); Iraq / Middle East (3)","Yeltsin (21); Primakov (5); Albright (3); Chernomyrdin (1)","1","0","2","1","Pete Huggins, Jim Smith, Doug Mueller, Bonnie Click Tony Campanella, Ki Fort","Dimitry Zarechnak","October 30, 1997, 12:52 - 1:21 p.m. EST The Oval Office","Issue context: Arms Control / Nonproliferation, Russian Politics / Elections, Iraq / Middle East. Authority checks: Yeltsin, Primakov, Albright, Chernomyrdin. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf"
"68","1998-08-14","Telcon","68","Heavy annotation review","415-421","415-420","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","Economic Reform / Assistance (11); Kosovo / Balkans (9); Russian Politics / Elections (9)","Yeltsin (20); IMF (5); Milosevic (5); Albright (1); Gore (1); Primakov (1)","1","0","1","0","Cindy Lawrence, Sean Tarver, Frank Jarosinski, Robert Ford, Daniel Kunin, Andrew Weiss","Kyril Borissow","August 14, 1998, 10:30 a.m.- 11:06 a.m. EDT, Oval Office","Issue context: Economic Reform / Assistance, Kosovo / Balkans, Russian Politics / Elections. Authority checks: Yeltsin, IMF, Milosevic, Albright, Gore, Primakov. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf"
"16","1994-01-14","Memcon","66","Heavy annotation review","91-93","91-93","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","Ukraine / Nuclear Security (29); Arms Control / Nonproliferation (3); Economic Reform / Assistance (1)","Yeltsin (7); Kravchuk (4); Chernomyrdin (1); Kozyrev (1); Talbott (1)","1","6","1","1","Director for Russia, Ukraine and Eurasia Affairs, NSC Staff","","January 14, 1994, 8:35 - 8:55 a.m. ' St. Catherine's Hall, The Kremlin DECLASSIFICATION AUTHORITY: Geoffrey W. Chapman, Senior Reviewer, A/GIS/IPS 3/25/2019 llarlaccifv nn- nAnp nrwrinrm-rl iu UNCLASSIFIED U.S. Department of State Case No. F-2017-13804 Doc No. C06694499 Date: 03/29/2019","Issue context: Ukraine / Nuclear Security, Arms Control / Nonproliferation, Economic Reform / Assistance. Authority checks: Yeltsin, Kravchuk, Chernomyrdin, Kozyrev, Talbott. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf"
"41","1996-04-21","Memcon","65","Heavy annotation review","247-260","247-259","POTUS-Yeltsin One-on-One","Iraq / Middle East (13); Arms Control / Nonproliferation (11); Chechnya / Caucasus (7)","Yeltsin (7); Primakov (5); NATO (3); Christopher (2); Talbott (2); Chernomyrdin (1)","0","4","2","1","","","April 21, 1996, 10:00-11:45 a.m., Moscow, Russia","Issue context: Iraq / Middle East, Arms Control / Nonproliferation, Chechnya / Caucasus. Authority checks: Yeltsin, Primakov, NATO, Christopher, Talbott, Chernomyrdin. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf"
