sequence,date,type,packetPageStart,packetPageEnd,actualConversationPacketPages,provenanceSheetPacketPage,actualConversationPages,title,source,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,frusSourceNote
"11","1993-09-21","Telcon","61","64","61-63","64","3","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","2015-0782-M-1","107-109","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 163, Folder Title/Record ID 9307171, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"12","1993-10-05","Telcon","65","68","65-67","68","3","Telephone call with President Boris Yeltsin of Russia, October 5, 1993, Air Force One","2015-0782-M-1","119-121","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-10-05-telcon-12.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 165, Folder Title/Record ID 9307653, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"13","1993-12-22","Telcon","69","73","69-72","73","4","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","2015-0782-M-1","142-145","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 178, Folder Title/Record ID 9309998, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"14","1994-01-13","Memcon","74","79","74-79","","6","One-on-One Meeting with President Boris Yeltsin of Russia","clinton-item-101363","1-6","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/19662f645b0b622a95717322e238c1ec.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101363, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation."
"15","1994-01-13","Memcon","80","90","80-90","","11","President's dinner with President Yeltsin, January 13/14, 1994","clinton-item-101370","1-11","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable."""
"16","1994-01-14","Memcon","91","93","91-93","","3","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","F-2017-13804","State FOIA document C06694499, conversation pages 1-3","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694499."
"17","1994-01-14","Memcon","94","101","94-101","","8","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","F-2017-13804","State FOIA document C06694502, conversation pages 1-8","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694502."
"18","1994-01-15","Memcon","102","103","102-103","","2","One-on-One Meeting with President Boris Yeltsin of Russia","clinton-item-101364","1-2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/67bc3e4fc7cc0ed1ba4f438e510624d8.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101364, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 15, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation."
"19","1994-02-20","Telcon","104","107","104-106","107","3","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","2015-0782-M-1","155-157","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 470, Folder Title/Record ID 9401529, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"20","1994-04-10","Telcon","108","111","108-110","111","3","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","2015-0782-M-1","164-166","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9402775, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"21","1994-04-20","Telcon","112","116","112-115","116","4","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","2015-0782-M-1","181-184","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9403047, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"22","1994-06-13","Telcon","117","121","117-120","121","4","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","2015-0782-M-1","191-194","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9404692, Original OA/ID 475, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"23","1994-07-05","Telcon","122","125","122-124","125","3","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","2015-0782-M-1","202-204","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 477, Folder Title/Record ID 9405387, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"24","1994-09-27","Memcon","126","133","126-132","133","7","Clinton-Yeltsin one-on-one memcon, September 27, 1994","2015-0782-M-1","213-219","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 481, Folder Title/Record ID 9408090, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"25","1994-09-27","Memcon","134","144","134-143","144","10","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","2015-0782-M-1","251-260","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"26","1994-09-28","Memcon","145","150","145-150","","6","Second Clinton/Yeltsin One-on-One","clinton-item-101758","3-7,9","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/2509827ca57f98e07eec584b3d69250f.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101758, ""Declassified documents concerning telcon between the President and Boris Yeltsin on September 28, 1994,"" identifier 2018-1215-M; creators National Security Council, NSC European Affairs Office, and Alexander Vershbow; part of National Archives Catalog Description, NAID 7585499; Clinton Presidential Records: White House Staff and Office Files; Declassified Documents collection."
"27","1994-10-05","Telcon","151","155","151-154","155","4","Telephone call with President Boris Yeltsin, October 5, 1994, White House","2015-0782-M-1","227-230","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9408162, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"28","1994-10-10","Telcon","156","160","156-159","160","4","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","2015-0782-M-1","238-241","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 481, Folder Title/Record ID 9408229, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"29","1995-02-13","Telcon","161","165","161-164","165","4","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","2015-0782-M-1","268-271","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 564, Folder Title/Record ID 9500995, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"30","1995-04-27","Telcon","166","170","166-169","170","4","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","2015-0782-M-1","280-283","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9503572, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"31","1995-05-10","Memcon","171","187","171-186","187","16","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","2015-0782-M-1","285-300","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia."
"32","1995-06-17","Memcon","188","195","188-195","","8","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","F-2017-13804","Strobe FOIA document C06835181, conversation pages 1-8","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06835181."
"33","1995-07-28","Telcon","196","201","196-200","201","5","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","2015-0782-M-1","309-313","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 597, Folder Title/Record ID 9505860, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"34","1995-09-27","Telcon","202","205","202-204","205","3","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","2015-0782-M-1","324-326","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 606, Folder Title/Record ID 9507137, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"35","1995-10-23","Memcon","206","218","206-217","218","12","Clinton-Yeltsin One-on-One","2014-0948-M","5-16","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 43319, Folder Title/Record ID 9507853, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436."
"36","1995-10-23","Memcon","219","224","219-223","224","5","Lunch with Boris Yeltsin, President of Russian Federation","2014-0948-M","31-35","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 611, Folder Title/Record ID 9507991, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436."
"37","1996-01-26","Telcon","225","230","225-229","230","5","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","2015-0782-M-1","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1082, Folder Title/Record ID 9600480, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"38","1996-02-21","Telcon","231","235","231-234","235","4","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","2015-0782-M-1","354-357","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9601097, Original OA/ID 1086, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"39","1996-03-13","Memcon","236","240","236-239","240","4","Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt","2016-0118-M-4","Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf","https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 118876, Clinton Digital Library item 2016-0118-M, Meetings between President Clinton and Russian President Boris Yeltsin."
"40","1996-04-09","Telcon","241","246","241-245","246","5","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","2015-0782-M-1","369-373","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1093, Folder Title/Record ID 9602172, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"41","1996-04-21","Memcon","247","260","247-259","260","13","POTUS-Yeltsin One-on-One","2015-0782-M-1","381-393","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 43319, Folder Title/Record ID 9602708, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
