sequence,date,type,status,selectionTier,selectionScore,actualConversationPages,packetPages,title,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,annotationTreatment,rationale,suggestedTreatment,decisionRemaining,sourcePdfPages,pdfUrl,sourcePacketUrl,frusSourceNote
"11","1993-09-07","Telcon","counted","Tier 3 - supporting candidate","59","4","56-60","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","Ukraine / Nuclear Security (12); Economic Reform / Assistance (7); Arms Control / Nonproliferation (2)","Yeltsin (17); Chernomyrdin (4); Kozyrev (3); Kravchuk (3); Gore (2); Christopher (1)","1","1","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","95-98","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 160, Folder Title/Record ID 9306715, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"12","1993-09-21","Telcon","counted","Tier 4 - concise/confirmatory","35","3","61-64","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","Economic Reform / Assistance (7); Russian Politics / Elections (4)","Yeltsin (13); Christopher (1)","1","2","1","0","Standard annotation review","Standard annotation review; PDD timing check; public framing available; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","107-109","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 163, Folder Title/Record ID 9307171, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"13","1993-10-05","Telcon","counted","Tier 4 - concise/confirmatory","26","3","65-68","Telephone call with President Boris Yeltsin of Russia, October 5, 1993, Air Force One","Russian Politics / Elections (4); Economic Reform / Assistance (1)","Yeltsin (12); Christopher (1)","1","1","1","0","Standard annotation review","Standard annotation review; PDD timing check; public framing available; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","119-121","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-10-05-telcon-12.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 165, Folder Title/Record ID 9307653, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"14","1993-12-22","Telcon","counted","Tier 2 - strong candidate","77","4","69-73","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","Economic Reform / Assistance (19); Ukraine / Nuclear Security (14); Russian Politics / Elections (7)","Yeltsin (14); NATO (5); Kravchuk (4); Gore (3); G-7 (2); IMF (1)","1","1","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; source-copy control","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","142-145","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 178, Folder Title/Record ID 9309998, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"15","1994-01-13","Memcon","counted","Tier 2 - strong candidate","82","6","74-79","One-on-One Meeting with President Boris Yeltsin of Russia","Economic Reform / Assistance (28); Russian Politics / Elections (11); Iraq / Middle East (5)","Yeltsin (18); G-7 (3); NATO (2); IMF (1); Kozyrev (1); Kravchuk (1)","0","4","0","2","Heavy annotation review","Heavy annotation review; public framing available; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","1-6","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/19662f645b0b622a95717322e238c1ec.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101363, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation."
"16","1994-01-13","Memcon","counted","Tier 1 - likely core","127","11","80-90","President's dinner with President Yeltsin, January 13/14, 1994","Iraq / Middle East (20); NATO / European Security (9); Ukraine / Nuclear Security (9)","Yeltsin (62); NATO (6); Kozyrev (4); Chernomyrdin (2); Gore (2); Christopher (1)","0","4","0","2","Heavy annotation review","Heavy annotation review; public framing available; support/context leads","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","1-11","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable."""
"17","1994-01-14","Memcon","counted","Tier 3 - supporting candidate","66","3","91-93","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","Ukraine / Nuclear Security (29); Arms Control / Nonproliferation (3); Economic Reform / Assistance (1)","Yeltsin (7); Kravchuk (4); Chernomyrdin (1); Kozyrev (1); Talbott (1)","1","6","1","1","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","State FOIA document C06694499, conversation pages 1-3","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694499."
"18","1994-01-14","Memcon","counted","Tier 1 - likely core","112","8","94-101","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","Arms Control / Nonproliferation (30); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","Yeltsin (20); Chernomyrdin (2); Christopher (1); Gore (1); Kozyrev (1); Talbott (1)","1","6","2","2","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; source-copy control; support/context leads","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","State FOIA document C06694502, conversation pages 1-8","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694502."
"19","1994-01-15","Memcon","counted","Tier 3 - supporting candidate","49","2","102-103","One-on-One Meeting with President Boris Yeltsin of Russia","Economic Reform / Assistance (7); Russian Politics / Elections (3)","Yeltsin (25); G-7 (3); IMF (1)","0","3","0","2","Heavy annotation review","Heavy annotation review; public framing available; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","1-2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/67bc3e4fc7cc0ed1ba4f438e510624d8.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101364, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 15, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation."
"20","1994-02-20","Telcon","counted","Tier 4 - concise/confirmatory","37","3","104-107","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","Kosovo / Balkans (6); NATO / European Security (1)","Yeltsin (12); Kohl (3); Milosevic (3); UN (2); Christopher (1); Kozyrev (1)","1","1","1","0","Standard annotation review","Standard annotation review; PDD timing check; public framing available; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","155-157","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 470, Folder Title/Record ID 9401529, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"21","1994-04-10","Telcon","counted","Tier 3 - supporting candidate","48","3","108-111","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","NATO / European Security (5); Kosovo / Balkans (2)","UN (13); Yeltsin (12); NATO (5); Kozyrev (2); Milosevic (2); Christopher (1)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","164-166","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9402775, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"22","1994-04-20","Telcon","counted","Tier 3 - supporting candidate","56","4","112-116","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","Kosovo / Balkans (6); NATO / European Security (6); Economic Reform / Assistance (4)","Yeltsin (12); UN (10); NATO (6); Kozyrev (3); Christopher (2); Kohl (1)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","181-184","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9403047, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"23","1994-06-03","Telcon","pending","Hard source gap","","","","Telephone call with President Boris Yeltsin of Russia, June 3, 1994, Rome, Italy","","","1","1","0","0","Hard source follow-up","PDD corroborates occurrence; Public Papers/context hook exists; Marker/withdrawal only","Do not select as a document until actual conversation pages are found; use the hard-gap packet for follow-up.","Source decision: locate released actual conversation pages before any document selection.","Marker/withdrawal packet pages 187-190 only; no released telcon pages","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Folder Title/Record ID 9404692, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"24","1994-06-13","Telcon","counted","Tier 3 - supporting candidate","59","4","117-121","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","Iraq / Middle East (17); Arms Control / Nonproliferation (3); Economic Reform / Assistance (2)","Yeltsin (17); Christopher (5); Kozyrev (5); G-7 (2); UN (2)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","191-194","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9404692, Original OA/ID 475, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"25","1994-07-05","Telcon","counted","Tier 4 - concise/confirmatory","23","3","122-125","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","NATO / European Security (4)","Yeltsin (13); NATO (2)","0","0","1","0","Light annotation check","Light annotation check; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","202-204","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 477, Folder Title/Record ID 9405387, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"26","1994-07-10","Memcon","pending","Hard source gap","","","","Meeting with President Boris Yeltsin of Russia, July 10, 1994, Naples Italy","","","0","1","0","0","Hard source follow-up","Public Papers/context hook exists; No released conversation pages located","Do not select as a document until actual conversation pages are found; use the hard-gap packet for follow-up.","Source decision: locate released actual conversation pages before any document selection.","No released July 10, 1994 Naples memcon pages located in 2015-0782-M-1","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"27","1994-09-27","Memcon","counted","Tier 2 - strong candidate","86","7","126-133","Clinton-Yeltsin one-on-one memcon, September 27, 1994","Kosovo / Balkans (16); Economic Reform / Assistance (5); Iraq / Middle East (5)","Yeltsin (29); Milosevic (13); UN (2); G-7 (1); Kohl (1); Kozyrev (1)","0","4","1","1","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","213-219","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 481, Folder Title/Record ID 9408090, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
