sequence,date,type,readinessBucket,actualConversationPages,packetPages,title,extractionStatus,provenanceStatus,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,selectionTier,selectionScore,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,hardGapClass,nextAction,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,frusSourceNote
"11","1993-09-07","Telcon","Ready to read; source-note review","4","56-60","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 91","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","59","Ukraine / Nuclear Security (12); Economic Reform / Assistance (7); Arms Control / Nonproliferation (2)","Yeltsin (17); Chernomyrdin (4); Kozyrev (3); Kravchuk (3); Gore (2); Christopher (1)","1","1","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed; declassify-on line not parsed).","95-98","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 160, Folder Title/Record ID 9306715, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"12","1993-09-21","Telcon","Ready to read; source-note review","3","61-64","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 100","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Standard annotation review","Tier 4 - concise/confirmatory","35","Economic Reform / Assistance (7); Russian Politics / Elections (4)","Yeltsin (13); Christopher (1)","1","2","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","107-109","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 163, Folder Title/Record ID 9307171, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"13","1993-10-05","Telcon","Ready to read; source-note review","3","65-68","Telephone call with President Boris Yeltsin of Russia, October 5, 1993, Air Force One","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 112","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Standard annotation review","Tier 4 - concise/confirmatory","26","Russian Politics / Elections (4); Economic Reform / Assistance (1)","Yeltsin (12); Christopher (1)","1","1","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","119-121","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-10-05-telcon-12.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 165, Folder Title/Record ID 9307653, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"14","1993-12-22","Telcon","Ready to read; source-note review","4","69-73","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 136","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Tier 2 - strong candidate","77","Economic Reform / Assistance (19); Ukraine / Nuclear Security (14); Russian Politics / Elections (7)","Yeltsin (14); NATO (5); Kravchuk (4); Gore (3); G-7 (2); IMF (1)","1","1","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","142-145","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 178, Folder Title/Record ID 9309998, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"15","1994-01-13","Memcon","Ready to read; source-note review","6","74-79","One-on-One Meeting with President Boris Yeltsin of Russia","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Tier 2 - strong candidate","82","Economic Reform / Assistance (28); Russian Politics / Elections (11); Iraq / Middle East (5)","Yeltsin (18); G-7 (3); NATO (2); IMF (1); Kozyrev (1); Kravchuk (1)","0","4","0","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","1-6","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/19662f645b0b622a95717322e238c1ec.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101363, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation."
"16","1994-01-13","Memcon","Ready to read; source-note review","11","80-90","President's dinner with President Yeltsin, January 13/14, 1994","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Tier 1 - likely core","127","Iraq / Middle East (20); NATO / European Security (9); Ukraine / Nuclear Security (9)","Yeltsin (62); NATO (6); Kozyrev (4); Chernomyrdin (2); Gore (2); Christopher (1)","0","4","0","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants; classification marking).","1-11","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable."""
"17","1994-01-14","Memcon","Ready to read; source-note review","3","91-93","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","66","Ukraine / Nuclear Security (29); Arms Control / Nonproliferation (3); Economic Reform / Assistance (1)","Yeltsin (7); Kravchuk (4); Chernomyrdin (1); Kozyrev (1); Talbott (1)","1","6","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed; declassify-on line not parsed).","State FOIA document C06694499, conversation pages 1-3","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694499."
"18","1994-01-14","Memcon","Ready to read; source-note review","8","94-101","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Heavy annotation review","Tier 1 - likely core","112","Arms Control / Nonproliferation (30); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","Yeltsin (20); Chernomyrdin (2); Christopher (1); Gore (1); Kozyrev (1); Talbott (1)","1","6","2","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed; declassify-on line not parsed).","State FOIA document C06694502, conversation pages 1-8","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694502."
"19","1994-01-15","Memcon","Ready to read; source-note review","2","102-103","One-on-One Meeting with President Boris Yeltsin of Russia","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","49","Economic Reform / Assistance (7); Russian Politics / Elections (3)","Yeltsin (25); G-7 (3); IMF (1)","0","3","0","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","1-2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/67bc3e4fc7cc0ed1ba4f438e510624d8.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101364, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 15, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation."
"20","1994-02-20","Telcon","Ready to read; source-note review","3","104-107","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 148","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","37","Kosovo / Balkans (6); NATO / European Security (1)","Yeltsin (12); Kohl (3); Milosevic (3); UN (2); Christopher (1); Kozyrev (1)","1","1","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","155-157","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 470, Folder Title/Record ID 9401529, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"21","1994-04-10","Telcon","Ready to read; source-note review","3","108-111","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 159","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","48","NATO / European Security (5); Kosovo / Balkans (2)","UN (13); Yeltsin (12); NATO (5); Kozyrev (2); Milosevic (2); Christopher (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","164-166","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9402775, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"22","1994-04-20","Telcon","Ready to read; source-note review","4","112-116","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 171","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","56","Kosovo / Balkans (6); NATO / European Security (6); Economic Reform / Assistance (4)","Yeltsin (12); UN (10); NATO (6); Kozyrev (3); Christopher (2); Kohl (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","181-184","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9403047, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"23","1994-06-03","Telcon","Hard source gap","","","Telephone call with President Boris Yeltsin of Russia, June 3, 1994, Rome, Italy","Pending source text","No derivative PDF until actual conversation pages are found","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","","1","1","0","0","Marker/withdrawal only","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","Marker/withdrawal packet pages 187-190 only; no released telcon pages","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Folder Title/Record ID 9404692, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"24","1994-06-13","Telcon","Ready to read; source-note review","4","117-121","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 187","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","59","Iraq / Middle East (17); Arms Control / Nonproliferation (3); Economic Reform / Assistance (2)","Yeltsin (17); Christopher (5); Kozyrev (5); G-7 (2); UN (2)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","191-194","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9404692, Original OA/ID 475, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
