sequence,includeInVolume,proposedDocumentNumber,editorialTreatment,priority,date,type,actualConversationPages,documentTitle,suggestedThemes,source,sourcePdfPages,markerPage,localDerivativePdf,sourcePacketUrl,frusSourceNote,extractionQaStatus,declassificationIssues,annotationNeeds,compilerNotes
"11","","","Document candidate","Core chronology","1993-09-07","Telcon","4","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","Economic reform / assistance","2015-0782-M-1","95-98","91","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 160, Folder Title/Record ID 9306715, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 95-98 from 2015-0782-M-1 and appended original marker page 91 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"12","","","Document candidate","Core chronology","1993-09-21","Telcon","3","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","Economic reform / assistance","2015-0782-M-1","107-109","100","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 163, Folder Title/Record ID 9307171, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 107-109 from 2015-0782-M-1 and appended original marker page 100 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"13","","","Document candidate","Core chronology","1993-10-05","Telcon","3","Telephone call with President Boris Yeltsin of Russia, October 5, 1993, Air Force One","Economic reform / assistance","2015-0782-M-1","119-121","112","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-10-05-telcon-12.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 165, Folder Title/Record ID 9307653, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 119-121 from 2015-0782-M-1 and appended original marker page 112 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"14","","","Document candidate","Core chronology","1993-12-22","Telcon","4","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","Economic reform / assistance","2015-0782-M-1","142-145","136","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 178, Folder Title/Record ID 9309998, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 142-145 from 2015-0782-M-1 and appended original marker page 136 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"15","","","Document candidate","Core chronology","1994-01-13","Memcon","6","One-on-One Meeting with President Boris Yeltsin of Russia","","clinton-item-101363","1-6","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/19662f645b0b622a95717322e238c1ec.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101363, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 1-6 from clinton-item-101363; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"16","","","Document candidate","Core chronology","1994-01-13","Memcon","11","President's dinner with President Yeltsin, January 13/14, 1994","","clinton-item-101370","1-11","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable.""","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 1-11 from clinton-item-101370; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded. The item is retained as a high-level interaction report even though the source label cautions that it is an NSC cable rather than a formal White House memcon."
"17","","","Document candidate","Core chronology","1994-01-14","Memcon","3","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","Ukraine / nuclear security","F-2017-13804","State FOIA document C06694499, conversation pages 1-3","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694499.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages State FOIA document C06694499, conversation pages 1-3 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"18","","","Document candidate","Core chronology","1994-01-14","Memcon","8","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","","F-2017-13804","State FOIA document C06694502, conversation pages 1-8","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694502.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages State FOIA document C06694502, conversation pages 1-8 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"19","","","Document candidate","Core chronology","1994-01-15","Memcon","2","One-on-One Meeting with President Boris Yeltsin of Russia","","clinton-item-101364","1-2","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/67bc3e4fc7cc0ed1ba4f438e510624d8.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101364, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 15, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 1-2 from clinton-item-101364; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"20","","","Document candidate","Core chronology","1994-02-20","Telcon","3","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","Economic reform / assistance","2015-0782-M-1","155-157","148","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 470, Folder Title/Record ID 9401529, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 155-157 from 2015-0782-M-1 and appended original marker page 148 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"21","","","Document candidate","Core chronology","1994-04-10","Telcon","3","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","Economic reform / assistance","2015-0782-M-1","164-166","159","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9402775, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 164-166 from 2015-0782-M-1 and appended original marker page 159 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"22","","","Document candidate","Core chronology","1994-04-20","Telcon","4","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","Economic reform / assistance","2015-0782-M-1","181-184","171","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9403047, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 181-184 from 2015-0782-M-1 and appended original marker page 171 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"23","","","Research gap / possible editorial note","Hard source gap","1994-06-03","Telcon","","Telephone call with President Boris Yeltsin of Russia, June 3, 1994, Rome, Italy","Economic reform / assistance","2015-0782-M-1","Marker/withdrawal packet pages 187-190 only; no released telcon pages","187","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Folder Title/Record ID 9404692, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","No extracted PDF; actual conversation pages not located","","","Pending source problem: no derivative PDF generated because the source packet contains marker/withdrawal/profile pages only, not released June 3, 1994 telcon text; later Clinton Library, Google Drive, NARA Scout/Catalog, and NSA searches found confirmation/context only."
"24","","","Document candidate","Core chronology","1994-06-13","Telcon","4","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","Economic reform / assistance","2015-0782-M-1","191-194","187","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9404692, Original OA/ID 475, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 191-194 from 2015-0782-M-1 and appended original marker page 187 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"25","","","Document candidate","Core chronology","1994-07-05","Telcon","3","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","Economic reform / assistance","2015-0782-M-1","202-204","196","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 477, Folder Title/Record ID 9405387, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 202-204 from 2015-0782-M-1 and appended original marker page 196 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"26","","","Research gap / possible editorial note","Hard source gap","1994-07-10","Memcon","","Meeting with President Boris Yeltsin of Russia, July 10, 1994, Naples Italy","Economic reform / assistance","2015-0782-M-1","No released July 10, 1994 Naples memcon pages located in 2015-0782-M-1","","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","No extracted PDF; actual conversation pages not located","","","Pending source problem: no derivative PDF generated because no released July 10, 1994 Naples memcon pages were located in the reviewed Clinton Library packet, Clinton Digital Library/public-record searches, Google Drive, NARA Scout/Catalog, or National Security Archive postings; pages 213-219 have been reassigned to the September 27, 1994 one-on-one memcon."
"27","","","Document candidate","Core chronology","1994-09-27","Memcon","7","Clinton-Yeltsin one-on-one memcon, September 27, 1994","Economic reform / assistance","2015-0782-M-1","213-219","209","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 481, Folder Title/Record ID 9408090, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 213-219 from 2015-0782-M-1 and appended original marker page 209 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"28","","","Document candidate","Core chronology","1994-09-27","Memcon","10","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","Economic reform / assistance","2015-0782-M-1","251-260","245","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 251-260 from 2015-0782-M-1 and appended original marker page 245 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"29","","","Document candidate","Core chronology","1994-09-28","Memcon","6","Second Clinton/Yeltsin One-on-One","Economic reform / assistance","clinton-item-101758","3-7,9","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/2509827ca57f98e07eec584b3d69250f.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101758, ""Declassified documents concerning telcon between the President and Boris Yeltsin on September 28, 1994,"" identifier 2018-1215-M; creators National Security Council, NSC European Affairs Office, and Alexander Vershbow; part of National Archives Catalog Description, NAID 7585499; Clinton Presidential Records: White House Staff and Office Files; Declassified Documents collection.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 3-7,9 from clinton-item-101758; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded. Source pages 1-2 are a duplicate tail fragment and source page 8 is blank; only pages 3-7 and 9 are included in the local derivative PDF."
"30","","","Document candidate","Core chronology","1994-10-05","Telcon","4","Telephone call with President Boris Yeltsin, October 5, 1994, White House","Economic reform / assistance","2015-0782-M-1","227-230","221","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9408162, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 227-230 from 2015-0782-M-1 and appended original marker page 221 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
